model,n_runs,n_folds,epochs,time,size,train-acc,acc,prec,sens,spec,f1
linGDlr0.1,5,22,150.0,0.6679284572601318,,1.0,0.9787878787878788,1.0,0.9575757575757576,1.0,0.978328173374613
linSGDlr0.01bs12,1,22,100.0,1.5839709043502808,,1.0,0.9772727272727272,1.0,0.9545454545454546,1.0,0.9767441860465116
linAdam,1,22,499.0,2.7363598346710205,,1.0,0.9242424242424242,0.9827586206896552,0.8636363636363636,0.9848484848484848,0.9193548387096774
linAdamLr0.001bs12,5,22,650.0,7.567780494689941,,1.0,0.9787878787878788,1.0,0.9575757575757576,1.0,0.978328173374613
linAdamlr0.01,1,22,250.0,1.454465389251709,,1.0,0.946969696969697,1.0,0.8939393939393939,1.0,0.944
linRprop,5,22,50.0,0.2706665992736816,,1.0,0.9787878787878788,1.0,0.9575757575757576,1.0,0.978328173374613
h30GD,1,22,400.0,1.798959255218506,,0.9996392726898192,0.9772727272727272,0.9701492537313432,0.9848484848484848,0.9696969696969696,0.9774436090225564
h30GDlr0.1,5,22,300.0,1.6532440185546875,,1.0,0.9787878787878788,0.9787878787878788,0.9787878787878788,0.9787878787878788,0.9787878787878788
h30GDlr0.001bs12,1,22,400.0,6.576122760772705,,1.0,0.9772727272727272,0.9701492537313432,0.9848484848484848,0.9696969696969696,0.9774436090225564
csp,5,22,70.0,0.1941772699356079,0.0,1.0,0.9954545454545455,1.0,0.990909090909091,1.0,0.9954337899543378
cspAdam,5,22,1000.0,1.8031691312789917,0.9454545378684998,1.0,0.9575757575757575,1.0,0.9151515151515152,1.0,0.9556962025316456
cspGD,5,22,500.0,0.5755656361579895,0.0,1.0,0.9757575757575757,1.0,0.9515151515151515,1.0,0.9751552795031055
h30AdamBs12,5,22,1400.0,50.91196823120117,,1.0,0.9848484848484848,0.9848484848484848,0.9848484848484848,0.9848484848484848,0.9848484848484848
hid30Rprop,5,22,50.0,0.3054037690162658,,1.0,0.9787878787878788,0.9968553459119496,0.9606060606060606,0.996969696969697,0.9783950617283952
cspGDtst,3,22,2999.0,8.934856414794922,10.0,1.0,0.9797979797979798,1.0,0.9595959595959596,1.0,0.979381443298969
